Order,Lot Area,Gr Liv Area,Overall Qual,Exter Qual,Kitchen Qual,Garage Area,PorchSFTotal,BathroomsTotal,HouseAge,HouseRemodelAge,Total Bsmt SF,Railroad_Near,Railroad_Adjacent,NeighborhoodClass,Sale Condition_Alloca,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD,SalePrice
557,8499,864,5,2,2,732.0,312,2.0,48,48,660.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,141000
558,9079,864,5,2,2,440.0,158,1.0,48,48,864.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,122000
559,9316,1020,5,2,2,288.0,171,2.0,44,44,544.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,124100
560,7791,912,5,3,3,300.0,0,2.0,46,14,624.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,129000
561,10000,1144,5,2,2,264.0,165,2.0,48,26,594.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,131400
562,8281,864,5,2,2,360.0,236,1.0,44,44,864.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,62383
563,7150,912,5,2,2,252.0,0,1.5,47,47,730.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,123000
564,15676,2014,8,3,3,864.0,717,3.0,29,29,1825.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,275000
565,11949,1755,7,3,3,524.0,562,3.0,18,1,817.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,235000
566,2880,3005,7,3,3,704.0,177,2.5,5,4,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,280750
567,3951,1224,6,3,3,528.0,234,2.5,0,0,0.0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,164500
568,3000,1224,6,3,3,528.0,234,2.5,0,0,294.0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,173733
569,3830,1726,6,3,3,561.0,254,2.5,1,1,0.0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,222000
570,4217,1256,6,3,3,641.0,169,2.5,1,1,962.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,195000
571,3230,1471,6,2,2,440.0,24,2.5,10,10,381.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,172500
572,2998,1512,6,3,3,440.0,32,3.5,9,9,507.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,180000
573,3768,1452,7,3,3,506.0,34,3.5,10,10,549.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,156000
574,2645,1739,8,3,3,480.0,115,3.5,10,9,649.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,172500
575,14694,1694,8,4,4,642.0,846,3.0,32,1,1388.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,318750
576,3782,1226,8,3,3,484.0,211,2.0,28,28,960.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,211500
577,15417,1740,7,3,3,540.0,466,1.5,28,28,121.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,241600
578,9600,2499,8,3,2,527.0,64,2.5,33,33,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,180500
579,9991,1620,4,2,2,490.0,198,3.0,33,16,1116.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,150000
580,11700,1556,6,2,2,441.0,0,1.5,41,41,298.0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,154000
581,11717,1442,6,2,2,615.0,371,2.0,39,39,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,185000
582,9156,1489,6,2,3,462.0,0,2.0,41,41,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,185750
583,10382,2090,7,2,2,484.0,667,3.5,36,36,891.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,200000
584,12732,2067,7,2,3,784.0,337,2.5,35,35,602.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,206000
585,12936,1395,6,2,2,497.0,410,2.0,37,37,593.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,162000
586,10400,2640,6,2,3,515.0,288,2.5,42,12,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,256900
587,17871,1724,6,2,2,480.0,0,2.5,42,33,528.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,197900
588,9600,1336,5,2,2,502.0,323,2.5,40,40,700.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,163000
589,9000,1216,6,2,2,336.0,0,2.0,40,40,955.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,113000
590,13774,2288,7,2,3,520.0,549,2.0,32,17,432.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,230000
591,9650,1334,6,2,2,630.0,16,2.5,32,32,686.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,167900
592,10140,1680,7,3,3,583.0,151,3.0,11,10,1271.0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,213250
593,8400,1665,8,3,3,528.0,45,3.5,8,8,643.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,227000
594,7130,864,5,2,2,312.0,0,1.5,42,42,648.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,130000
595,9600,1568,5,2,2,440.0,200,1.5,42,42,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,143000
596,9100,925,5,2,2,429.0,0,1.5,44,44,804.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,117500
597,9600,2061,7,2,2,498.0,273,3.0,35,35,698.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,168500
598,16500,1320,6,2,2,495.0,20,2.5,38,38,962.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,172500
599,9790,1342,6,2,2,457.0,197,2.0,42,42,881.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,161500
600,7436,894,4,2,2,396.0,360,2.0,49,49,734.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,141500
601,8125,864,5,2,2,308.0,0,1.0,50,50,403.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,118000
602,9100,864,6,2,2,300.0,0,1.0,50,50,612.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,127500
603,9450,1362,4,2,2,768.0,84,2.0,52,52,775.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,140000
604,13495,1728,5,2,2,576.0,99,3.0,53,53,826.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,177625
605,11475,1776,5,2,2,888.0,25,3.0,51,51,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,110000
606,10004,1516,6,2,2,472.0,152,1.5,45,45,541.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,167000
607,9350,1313,5,2,3,610.0,321,2.5,48,14,822.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,153000
608,10500,1292,5,2,2,520.0,124,2.5,45,45,998.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,145100
609,11000,1154,5,2,2,480.0,58,1.5,43,43,970.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,154000
610,8970,2140,5,2,2,549.0,304,2.5,44,44,388.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,177500
611,12095,1445,6,2,2,645.0,180,1.5,45,45,564.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,158000
612,9600,1041,5,2,2,270.0,312,2.0,50,50,991.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,124500
613,11475,1576,6,2,3,368.0,85,2.0,48,48,568.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,174500
614,9768,960,5,2,2,330.0,70,2.0,54,54,347.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,122000
615,5330,708,4,1,1,0.0,164,1.0,69,59,280.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,82500
616,7015,1203,5,2,3,352.0,248,2.0,59,59,185.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,110000
617,12160,1505,6,2,2,505.0,162,2.0,56,56,1024.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149500
618,9900,1691,6,3,2,550.0,327,2.0,42,42,1173.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,175000
619,9600,1644,6,2,2,418.0,110,2.0,56,56,1285.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,167000
620,9600,1050,5,2,2,338.0,0,1.0,53,53,504.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,128900
621,9600,1668,6,2,2,271.0,0,1.5,59,4,120.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,140000
622,9600,1113,5,3,3,264.0,200,1.0,59,2,607.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,147000
623,8944,1584,5,2,2,792.0,152,2.0,42,42,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,124000
624,10573,1453,6,2,2,530.0,337,3.0,48,48,1312.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,187500
625,9500,1394,6,2,2,514.0,261,2.5,46,46,609.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,159000
626,14695,1567,6,2,3,542.0,452,3.0,43,1,1387.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,256000
627,13600,1986,7,2,2,486.0,231,2.5,44,19,454.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,205000
628,13000,2142,6,2,3,509.0,324,2.5,41,41,448.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,193500
629,13560,1392,6,2,2,576.0,240,2.0,41,41,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,110000
630,12513,1738,4,2,2,368.0,55,2.0,89,2,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,104900
631,8760,1144,5,3,2,286.0,257,2.0,53,53,856.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,150000
632,8400,1478,6,2,2,442.0,330,2.5,52,52,850.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,156500
633,12285,1329,7,2,2,441.0,203,1.5,49,49,544.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,176000
634,9240,988,6,3,3,297.0,156,3.0,50,11,708.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149500
635,9600,1632,6,2,2,338.0,289,3.0,51,21,1240.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,139000
636,12400,1215,6,2,2,297.0,234,1.0,51,11,585.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,155000
637,8750,1202,5,2,2,304.0,155,1.5,53,53,637.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,120000
638,8750,1382,5,2,3,350.0,280,1.5,54,54,655.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,153000
639,10400,1200,4,2,2,294.0,329,2.0,53,53,905.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,144000
640,19296,1382,6,2,2,884.0,252,2.0,47,47,1362.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,176000
641,8532,1297,5,2,2,498.0,0,1.5,55,19,1213.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,153000
642,9482,1866,5,2,2,495.0,0,2.0,51,51,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,135000
643,8128,1062,6,2,2,297.0,0,2.0,55,55,490.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,131000
644,10634,1319,5,2,2,270.0,66,2.0,56,56,608.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,123000
645,13070,1112,5,2,2,480.0,255,1.0,58,58,308.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,126000
646,10434,1005,4,2,1,672.0,0,1.0,54,54,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,115000
647,14559,1363,5,3,2,288.0,534,2.0,58,9,830.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,164900
648,8480,793,5,2,1,240.0,0,2.0,64,59,700.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,113000
649,7626,1031,5,3,3,230.0,0,2.0,57,4,931.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,145500
650,9533,1210,5,2,2,616.0,308,1.5,56,56,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,102900
651,10615,1699,3,2,2,420.0,74,3.0,109,39,440.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,95000
652,11419,1527,7,2,2,410.0,134,2.5,61,10,699.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,152500
653,9600,1200,5,2,2,246.0,126,1.0,59,59,390.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,129900
654,8000,972,6,2,2,240.0,0,2.0,61,7,680.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,132000
655,5470,792,3,2,2,366.0,90,1.0,51,51,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,99900
656,10410,1656,5,2,2,180.0,140,2.5,93,22,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,135000
657,10800,1352,5,2,3,720.0,315,2.5,70,3,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149000
658,8146,1039,4,3,2,281.0,279,1.0,109,6,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,114000
659,9022,792,5,3,3,240.0,436,1.0,85,3,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,109500
660,10230,1078,5,2,4,264.0,112,1.0,84,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,125000
661,10410,2377,4,2,3,528.0,432,2.0,94,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,142900
662,7200,1690,7,3,3,624.0,112,2.0,99,1,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,156500
663,5400,599,2,1,3,0.0,81,2.0,69,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,59000
664,5400,1374,4,1,2,338.0,198,1.0,89,59,420.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,105000
665,10800,846,5,2,3,576.0,0,1.0,89,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,106000
666,10800,725,3,2,2,320.0,30,1.5,119,11,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,78500
667,9671,2544,6,2,2,907.0,0,3.0,40,40,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,190000
668,10143,1380,6,2,2,364.0,216,1.5,46,46,384.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,154000
669,11500,1040,6,1,2,480.0,156,2.0,42,42,932.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,163000
670,11643,2634,5,2,2,968.0,0,4.5,40,40,500.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,200000
671,8010,951,6,3,3,480.0,42,2.0,51,2,745.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,143500
672,10454,1105,6,2,2,308.0,0,1.0,52,52,546.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,135000
673,8712,1306,5,2,2,756.0,0,2.0,52,9,860.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,153000
674,17600,1478,6,2,2,498.0,40,3.0,49,49,1270.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,157500
675,9000,1142,6,2,2,384.0,92,1.0,51,51,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,113500
676,12144,1268,5,3,2,288.0,28,1.0,60,59,375.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,133000
677,8544,1040,3,2,2,400.0,0,2.0,59,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,92900
678,8064,1133,6,2,2,900.0,231,1.0,59,59,621.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,128500
679,7200,1040,4,2,2,420.0,0,2.0,60,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90000
680,7200,1904,5,2,2,240.0,168,2.5,59,27,532.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,138000
681,7350,1041,5,2,2,294.0,0,1.0,51,51,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,128000
682,7560,1339,5,2,2,294.0,0,1.0,51,44,504.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,139000
683,7200,732,5,2,2,240.0,68,2.0,57,57,732.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,118900
684,8000,1183,5,2,2,288.0,0,2.0,50,50,528.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,138000
685,7931,1148,5,2,2,672.0,0,2.0,50,50,1148.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,132500
686,10800,1461,4,2,2,384.0,204,2.0,60,13,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,133500
687,8064,1495,6,2,2,576.0,216,1.0,61,15,120.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,135000
688,7570,1806,6,2,2,483.0,55,1.5,45,45,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,144750
689,8604,941,5,2,3,564.0,40,2.0,31,31,941.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,145000
690,7936,1045,6,2,2,264.0,0,2.0,46,46,826.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,127000
691,6600,894,5,2,2,308.0,0,1.0,47,47,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,109500
692,3950,1224,6,2,2,210.0,116,1.0,83,5,468.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,115000
693,10440,1230,5,2,2,440.0,202,1.5,99,28,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,110000
694,4080,1378,6,2,3,162.0,94,1.0,74,11,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,128900
695,10307,1944,6,2,2,324.0,197,3.0,99,59,633.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,103500
696,5720,1131,5,2,2,200.0,26,1.5,68,59,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,66500
697,15660,1306,5,2,3,472.0,0,1.5,99,6,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,130000
698,9900,1464,5,3,2,0.0,176,2.0,99,7,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,129000
699,6406,1558,5,2,2,400.0,218,1.5,70,59,421.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,150000
700,6600,2372,5,2,2,432.0,287,2.0,117,44,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,107500
701,7627,1701,4,1,1,0.0,148,2.0,89,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,94550
702,7596,1960,5,2,2,400.0,0,2.0,57,57,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,124500
703,3378,1389,7,2,2,240.0,126,1.5,63,17,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,135000
704,10134,1447,5,2,2,0.0,324,1.0,99,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,103000
705,6000,936,4,1,2,576.0,144,1.0,56,56,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,93000
706,6000,1328,5,2,2,308.0,12,1.5,59,39,384.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,129500
707,6000,1387,5,2,3,256.0,0,2.0,55,55,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,93000
708,7404,861,4,2,2,288.0,128,1.0,89,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,80000
709,5925,612,2,2,2,308.0,25,1.0,69,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,45000
710,5925,968,3,2,2,0.0,0,1.0,99,59,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37900
711,5784,886,5,2,2,273.0,244,1.0,71,13,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,91300
712,8520,792,5,3,2,287.0,81,1.0,86,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,99500
713,4456,1452,4,2,2,0.0,102,2.0,89,1,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,113000
714,9600,1510,4,3,3,720.0,160,2.0,99,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,87500
715,3500,1284,5,2,2,240.0,35,1.5,62,59,312.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,110000
716,8100,2138,5,2,2,360.0,196,2.0,111,44,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,106000
717,11700,2640,7,3,3,864.0,567,1.5,129,6,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,265979
718,8400,2007,6,2,4,357.0,235,2.0,109,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,160000
719,3600,1288,6,2,4,280.0,103,2.0,92,2,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,119000
720,17671,1742,8,3,3,424.0,169,1.5,127,23,216.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,168000
721,3300,816,4,2,2,0.0,33,1.0,99,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,58500
722,9000,1482,7,2,2,324.0,0,1.5,89,21,624.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,143000
723,7200,1022,5,2,2,280.0,256,2.0,99,3,712.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,85000
724,8820,1869,5,2,2,456.0,292,1.0,119,13,1088.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,124900
725,5400,1480,6,1,2,207.0,176,1.0,89,59,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,119000
726,9720,1521,6,2,3,640.0,238,1.0,99,7,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,146500
727,7879,720,4,2,2,0.0,638,1.0,89,59,495.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34900
728,9392,797,3,2,2,0.0,130,1.0,109,59,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,44000
729,21384,1576,5,2,3,528.0,312,3.5,86,5,1309.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,223500
730,6615,1432,6,2,3,216.0,327,1.0,86,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149000
731,7264,1548,7,3,4,672.0,218,2.5,84,2,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,205000
732,4960,1654,5,2,2,336.0,304,2.0,79,27,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,137000
733,8854,952,6,2,1,192.0,138,1.0,93,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,121000
734,6000,1324,4,2,2,240.0,0,1.0,73,59,672.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,128000
735,6000,1176,6,3,2,624.0,210,1.0,72,9,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,134900
736,6000,1348,5,2,2,216.0,208,2.0,84,12,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,117000
737,6000,1412,6,2,2,280.0,45,1.0,70,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,132500
738,6000,1142,5,2,2,320.0,98,1.0,85,59,220.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,93000
739,6000,904,6,3,2,180.0,105,1.0,83,5,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,119000
740,6911,1301,5,2,1,440.0,0,1.0,85,59,405.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,100000
741,6120,1539,5,2,2,576.0,112,1.5,73,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,141500
742,6120,1573,4,2,3,240.0,174,1.0,74,14,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,133000
743,6120,800,2,1,1,0.0,0,1.0,73,59,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,60000
744,6120,875,5,2,2,180.0,48,2.0,78,16,209.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,105000
745,6120,995,5,2,2,264.0,66,1.0,84,10,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,115000
746,6120,1582,5,2,2,250.0,373,2.0,71,59,273.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,150000
747,8635,1072,5,2,2,1184.0,105,2.0,84,59,134.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,126500
748,11888,2134,6,2,3,441.0,328,2.0,93,15,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,214500
749,11414,2019,7,2,3,532.0,644,1.0,99,16,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,167500
750,8094,1768,6,2,2,576.0,150,2.0,94,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,155000
751,2500,1826,7,3,4,164.0,0,2.5,94,4,299.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,155000
752,9928,1944,7,2,2,216.0,52,2.0,94,15,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,179900
753,5520,2229,6,2,2,0.0,228,1.0,97,59,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,104000
754,3000,2128,5,2,2,0.0,56,2.0,87,59,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,62500
755,6876,1930,6,2,2,316.0,213,3.0,82,59,522.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149000
756,6240,1208,4,2,2,539.0,135,1.0,84,59,152.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,103000
757,5775,1427,6,2,3,379.0,136,1.0,94,7,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,123000
758,5852,1864,7,2,2,0.0,290,2.5,107,9,169.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,97500
759,5160,1666,6,2,2,384.0,148,1.0,82,59,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,135000
760,5160,892,4,2,3,0.0,265,2.0,86,59,812.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,70000
761,10320,1403,6,2,2,308.0,288,2.5,94,44,538.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,116000
762,4280,704,4,2,1,220.0,24,1.5,63,8,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,88750
763,10800,1200,5,2,2,0.0,120,6.0,22,21,1200.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,179000
764,10800,1200,5,2,2,0.0,120,6.0,22,21,1200.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,179000
765,10547,1152,5,2,2,252.0,0,4.0,31,31,1152.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,159900
766,10020,904,1,1,1,0.0,0,1.5,87,59,350.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,61000
767,6629,1369,6,2,2,300.0,147,3.0,84,59,551.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,103600
