Order,HouseFunctional,Lot Area,Gr Liv Area,SalePrice,Bsmt Cond,Bsmt Qual,Exter Cond,Exter Qual,Kitchen Qual,Overall Cond,Overall Qual,Bsmt Unf SF,BsmtFin Type 1,BsmtFin Type 2,Central Air,Electrical,Exterior_AsbShng,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_PreCast,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Fireplace Qu,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Cond,Garage Finish,Garage Qual,Half Bath,Heating QC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,House Style_1.5Unf,House Style_2.5Unf,HouseIsNew,HouseIsreModeled,Kitchen Qual,Low Qual Fin SF,MS SubClass,MS Zoning,Paved Drive,Pool QC,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Street_Grvl,Street_Pave,Utilities
398,7,7038,864,76500,4,4,2,2,2,6,4,138.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,0,2,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
399,7,6960,864,120500,4,4,2,2,3,6,4,250.0,4,3,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,0,2,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
400,7,8120,864,124500,4,4,3,2,2,7,4,673.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,0,4,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
401,7,10500,864,97000,4,4,2,2,2,6,4,160.0,4,2,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,0,3,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
402,7,9000,864,130000,4,4,3,2,2,7,4,624.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,0,3,0,1,0,0,0,0,0,0,0,1,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
403,7,1680,987,111000,4,4,2,2,2,5,6,229.0,3,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
404,6,2368,1365,125000,4,4,2,2,2,6,5,0.0,2,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
405,7,1680,1302,112000,4,4,2,2,2,5,5,630.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
406,7,1680,987,97000,4,4,2,2,2,6,6,79.0,2,2,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
407,7,1680,987,118000,4,4,2,2,3,8,6,321.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,1,3,0,1,0,0,0,0,0,0,0,1,3,0,160,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
408,7,1680,1302,119500,4,4,2,2,2,7,5,399.0,4,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
409,7,4928,958,143750,4,5,2,2,2,6,6,0.0,2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,2,3,0,2,0,1,0,0,0,0,0,0,0,0,2,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
410,7,2308,1548,146000,4,5,2,2,2,5,6,498.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,2,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
411,7,2280,1456,148500,4,5,2,2,2,6,6,289.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
412,7,2280,1055,123000,4,5,2,2,2,5,7,0.0,4,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,3,2,3,0,2,0,1,0,0,0,0,0,0,0,0,2,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
413,7,2308,1322,147000,4,4,2,2,2,5,6,103.0,4,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
414,7,2349,1456,137900,4,5,2,2,2,5,6,466.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
415,7,2364,1548,147000,4,5,2,2,2,5,6,484.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
416,7,2289,1441,148500,4,4,2,2,2,6,6,544.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
417,7,2364,1456,138000,4,5,2,3,2,5,6,576.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,3,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
418,7,2104,836,128500,4,4,2,2,2,6,7,300.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,0,2,0,1,0,0,0,0,0,0,0,0,2,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
419,7,7150,892,100000,4,4,2,2,2,5,5,460.0,3,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,2,3,0,2,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
420,7,10710,1120,148800,4,4,2,3,2,7,5,220.0,3,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,2,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
421,7,12456,1718,337500,4,5,2,4,4,5,10,528.0,5,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
422,7,14257,2772,462000,4,5,2,4,4,5,9,416.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,4,0,60,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
423,7,13518,3140,485000,4,5,2,4,4,5,9,1926.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,60,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
424,7,15431,2402,555000,4,5,2,4,4,5,10,788.0,5,4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
425,7,13173,1652,325000,4,5,2,3,4,5,9,80.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
426,7,14230,1600,256300,4,5,2,3,3,5,8,1566.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
427,7,12704,2042,253293,4,5,2,4,4,5,8,2042.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
428,7,12350,2690,398800,4,5,2,3,4,5,9,379.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,1,4,0,1,0,0,0,0,0,0,1,0,4,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
429,7,11308,2184,335000,4,5,2,4,4,5,9,168.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,4,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
430,7,12350,2020,404000,4,5,2,4,4,5,9,788.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
431,7,12220,2020,402861,4,5,2,4,4,5,10,570.0,5,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,1,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
432,7,13478,2296,451950,4,5,2,4,4,5,10,384.0,5,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,1,4,0,1,0,0,0,0,0,0,0,0,4,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
433,7,13693,2674,610000,4,5,2,4,4,5,10,342.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
434,7,13891,2822,582933,4,5,2,4,4,5,9,1734.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,60,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
435,7,11578,1736,360000,4,5,2,4,4,5,9,1736.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
436,7,16870,1782,296000,4,5,2,3,3,5,8,251.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
437,7,23303,2520,409900,4,5,2,3,4,5,8,278.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,4,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
438,7,11146,1717,255500,4,5,2,3,3,5,8,1709.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
439,7,10367,1743,335000,4,5,2,4,4,5,9,724.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
440,7,9591,1713,274900,4,5,2,3,4,5,8,625.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
441,7,10872,1531,300000,5,5,2,3,4,5,9,467.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
442,7,13514,1808,324000,4,5,2,4,4,5,9,632.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
443,7,8834,2224,350000,4,5,2,3,4,5,9,292.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,60,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
444,7,11362,1836,280000,4,5,2,3,3,5,8,797.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
445,7,10655,1629,284000,4,5,2,3,3,5,8,1603.0,5,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
446,7,12878,1760,269500,4,5,2,3,3,5,7,498.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
447,7,9541,1502,233170,4,5,2,3,3,5,7,1502.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,1,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
448,7,13472,2392,386250,4,5,2,4,4,5,10,2336.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
449,7,15274,2452,445000,4,5,2,3,4,5,9,480.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
450,7,13262,2400,290000,4,5,2,3,3,5,8,1082.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
451,7,9658,1606,255900,4,5,2,3,3,5,8,1598.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,3,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
452,7,6904,1358,213000,4,5,2,3,3,5,6,522.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
453,7,5381,1306,196000,4,5,2,3,3,5,6,406.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
454,7,5122,1306,184500,4,5,2,3,3,5,6,425.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
455,7,10307,1358,212500,4,5,2,3,3,5,7,474.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
456,7,5001,1314,230000,4,5,2,3,3,5,7,410.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
457,7,14836,2492,552000,4,5,2,4,4,5,10,346.0,5,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
458,7,15262,2200,382500,4,5,2,3,4,5,8,643.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
459,7,7390,1884,320000,4,5,2,4,4,5,9,1084.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,1,4,0,120,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
460,7,6472,1456,248500,4,5,2,4,4,5,9,1451.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,120,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
461,7,16770,1712,286500,4,5,2,3,3,5,8,516.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
462,7,6240,1324,254000,4,5,2,3,3,5,8,461.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
463,7,3480,1405,173000,4,5,2,3,3,5,7,1405.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
464,7,2268,1626,173000,4,5,2,3,3,5,7,197.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
465,7,10928,1456,184000,5,5,2,3,3,5,7,728.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
466,7,8918,1490,167800,4,5,2,3,3,5,6,745.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
467,7,12589,1484,174000,4,5,2,3,3,5,6,742.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
468,7,11911,1560,174000,4,5,2,3,3,5,6,684.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
