Order,MS SubClass,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,Mo Sold,Yr Sold,SalePrice,SalesPriceLog,Railroad_Adjacent,Railroad_Near,Street_Feeder,Street_Aterial,PosFeature_Adjacent,PosFeature_Near,NeighborhoodClass,MS Zoning_ord,Street_Grvl,Street_Pave,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,HouseAge,RemodelAge,IsreModeled,IsNew,TotalBathrooms,TotalPorchSF,Mas Vnr Type_,Mas Vnr Type_BrkCmn,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Roof Matl_ClyTile,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Misc Feature_Elev,Misc Feature_Gar2,Misc Feature_NA,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Exterior_AsbShng,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_PreCast,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Garage Type_2Types,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_NA,GarageAge,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD
110,20,80.0,8000,0,3,3,4,3,3,7,5,2002,2002,0.0,1,0,3.0,2.5,0.0,4.0,833.0,1.0,0.0,833.0,4,1,4.0,1492,0,0,1492,1.0,1.0,2,0,3,1,1,6,7,1,3.0,2002.0,2.0,3.0,3.0,2,277,137,0,0,0,0,0,0,0,4,2010,230000,12.345834587905333,0.0,0.0,0.0,0.0,0.0,0.0,2,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,8,8,1,0,3.0,414,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,8.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
111,20,81.51764678955078,10456,0,2,3,4,3,3,6,6,1967,1967,120.0,0,0,2.5,2.5,0.0,4.0,506.0,1.0,0.0,506.0,3,1,4.0,1829,0,0,1829,1.0,1.0,2,0,4,1,0,8,7,0,0.0,1967.0,2.0,3.0,3.0,2,0,76,0,0,0,0,0,0,0,5,2010,218500,12.294541293517781,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,43,43,1,0,3.0,76,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,43.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
112,60,80.0,10791,0,3,3,4,3,3,6,5,1993,1993,0.0,0,0,3.0,2.5,1.0,4.0,1137.0,1.0,0.0,1137.0,4,1,4.0,1280,1215,0,2495,1.0,1.0,2,1,4,1,1,9,7,1,2.5,1993.0,1.0,3.0,3.0,2,224,32,0,0,0,0,0,0,0,3,2010,243500,12.402872221504781,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,17,17,1,0,3.5,256,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,17.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
113,20,81.51764678955078,10603,0,2,3,4,3,3,6,7,1977,2001,28.0,0,0,2.5,2.5,1.0,3.5,1200.0,1.0,0.0,1200.0,3,1,4.0,1610,0,0,1610,1.0,1.0,2,0,3,1,1,6,7,2,2.5,1977.0,2.0,3.0,3.0,2,168,68,0,0,0,0,0,0,0,2,2010,205000,12.230765258120545,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,33,9,0,0,3.0,236,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,33.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
114,50,81.51764678955078,18837,0,2,3,4,3,3,6,5,1978,1978,0.0,0,0,3.0,2.5,1.0,3.5,687.0,2.0,46.0,733.0,2,1,4.0,1287,604,0,1891,0.0,0.0,3,0,3,1,0,7,7,1,2.5,1978.0,2.0,3.0,3.0,2,0,69,0,0,0,0,0,0,0,4,2010,212500,12.266697267346608,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,32,32,1,0,3.5,69,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,32.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
115,60,80.0,10421,0,3,3,4,3,3,7,5,1988,1988,42.0,0,0,3.0,2.5,0.0,4.0,394.0,1.0,0.0,394.0,2,1,4.0,980,734,0,1714,0.0,0.0,2,1,3,1,0,7,7,1,2.5,1988.0,1.0,3.0,3.0,2,228,66,156,0,0,0,0,2,500,3,2010,196500,12.188417710291453,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,22,22,1,0,2.5,450,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,22.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
116,20,78.0,9360,0,3,3,4,3,3,6,7,1972,2006,0.0,0,0,2.5,2.5,0.0,3.5,982.0,1.0,0.0,982.0,2,1,4.0,1381,0,0,1381,1.0,1.0,1,1,3,1,1,5,7,1,2.5,1972.0,2.0,3.0,3.0,2,0,0,0,0,0,0,0,0,0,3,2010,197500,12.193493863323313,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,38,4,0,0,2.5,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,38.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
117,60,80.0,9600,0,3,3,4,3,3,6,6,1971,1971,0.0,0,0,2.5,2.5,0.0,3.5,329.0,1.0,0.0,329.0,2,1,4.0,930,715,0,1645,0.0,0.0,1,2,4,1,0,7,7,0,0.0,1971.0,2.0,3.0,3.0,2,0,78,0,0,0,0,0,3,0,6,2010,171000,12.049418835484797,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,39,39,1,0,2.0,78,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,39.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
118,20,80.0,9600,0,3,3,4,3,3,5,5,1966,1966,172.0,0,0,2.5,2.5,0.0,2.0,698.0,1.0,0.0,698.0,2,1,4.0,1232,0,0,1232,1.0,1.0,1,1,3,1,0,6,7,0,0.0,1966.0,2.0,3.0,3.0,2,0,224,0,0,0,0,0,0,0,4,2010,142250,11.865341351988578,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,44,44,1,0,2.5,224,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,44.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
119,20,81.51764678955078,9790,0,3,3,4,3,3,6,5,1963,1963,451.0,0,0,2.5,2.5,0.0,3.5,569.0,2.0,81.0,650.0,2,1,4.0,1328,0,0,1328,1.0,1.0,1,1,3,1,0,6,7,2,3.0,1963.0,1.0,3.0,3.0,2,0,26,0,0,0,0,0,0,0,6,2010,143000,11.870599909242044,0.0,0.0,1.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,47,47,1,0,2.5,26,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,47.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
120,20,77.0,9320,0,2,3,4,3,3,4,5,1959,1959,0.0,0,0,2.5,2.5,0.0,3.5,569.0,1.0,0.0,569.0,1,1,4.0,1225,0,0,1225,1.0,1.0,1,1,3,1,0,6,7,0,0.0,1959.0,0.0,0.0,0.0,2,352,0,0,0,0,0,0,0,400,1,2010,128950,11.76718001130949,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,51,51,1,0,2.5,352,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,51.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
121,20,90.0,9900,0,3,3,4,2,3,5,5,1966,1966,0.0,0,0,3.0,2.5,0.0,3.0,1059.0,1.0,0.0,1059.0,3,1,4.0,1209,0,0,1209,1.0,1.0,1,0,3,1,0,6,7,0,0.0,1966.0,2.0,3.0,3.0,2,0,0,120,0,0,0,0,0,0,4,2010,159000,11.976659481202368,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,44,44,1,0,2.0,120,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,44.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
122,20,88.0,9680,0,3,3,4,3,3,5,6,1967,1967,268.0,0,0,2.5,2.5,0.0,3.0,1010.0,1.0,0.0,1010.0,4,1,4.0,1510,0,0,1510,1.0,1.0,2,0,3,1,1,6,7,0,0.0,1967.0,2.0,3.0,3.0,2,0,40,0,0,204,0,0,4,0,4,2010,178900,12.09458226949681,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,43,43,1,0,3.0,244,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False,True,False,False,False,False,False,43.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
124,80,75.2106704711914,14112,0,2,3,4,2,3,5,7,1964,1964,86.0,0,0,2.5,2.5,2.0,4.0,1014.0,1.0,0.0,1014.0,2,1,4.0,1152,0,0,1152,1.0,1.0,1,0,3,1,0,6,7,1,3.0,1964.0,2.0,3.0,3.0,2,227,0,0,0,0,0,0,0,0,4,2010,180500,12.103486056755072,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,46,46,1,0,2.0,227,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,True,False,False,False,False,False,46.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
127,20,68.0,9717,0,3,3,4,3,3,5,6,1950,1996,0.0,0,0,2.5,2.5,1.0,4.0,49.0,2.0,1029.0,1078.0,3,1,3.0,1078,0,0,1078,1.0,1.0,1,0,2,1,1,5,7,0,0.0,1950.0,1.0,3.0,3.0,2,366,0,112,0,0,0,0,0,0,4,2010,142125,11.864462231052837,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,60,14,0,0,2.0,478,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,60.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
128,50,68.0,9724,0,3,3,4,3,3,5,7,1952,2002,265.0,1,0,2.5,2.5,0.0,2.0,670.0,1.0,0.0,670.0,3,1,4.0,1929,532,0,2461,0.0,0.0,2,0,3,1,0,7,5,2,3.0,1994.0,1.0,3.0,3.0,2,0,0,0,0,0,0,0,3,0,3,2010,197600,12.194000064295905,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,58,8,0,0,2.0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,16.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
129,50,120.0,17360,0,3,3,4,2,3,6,6,1949,1950,340.0,0,1,2.5,2.5,0.0,2.0,300.0,1.0,0.0,300.0,2,1,4.0,1019,537,0,1556,0.0,0.0,2,0,3,1,0,6,7,1,3.0,1949.0,1.0,3.0,3.0,2,0,0,150,0,0,0,0,0,0,1,2010,172500,12.058152515453552,0.0,0.0,0.0,1.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,61,60,0,0,2.0,150,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,61.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
130,20,50.0,7207,0,2,3,4,3,3,5,7,1958,2008,0.0,0,1,2.5,2.5,3.0,3.0,696.0,1.0,0.0,696.0,3,1,4.0,858,0,0,858,1.0,1.0,1,0,2,1,0,4,7,0,0.0,1958.0,0.0,0.0,0.0,2,117,0,0,0,0,0,0,0,0,2,2010,116500,11.665646551987892,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,52,2,0,0,2.0,117,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,False,False,False,False,True,52.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
131,30,55.0,5350,0,2,3,4,3,3,3,2,1940,1966,0.0,0,-4,2.5,2.5,0.0,1.0,0.0,1.0,0.0,0.0,4,1,4.0,1306,0,0,1306,0.0,0.0,1,0,3,1,-1,6,4,0,0.0,1940.0,0.0,0.0,0.0,2,263,0,0,0,0,0,0,3,450,5,2010,76500,11.245046019814627,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,70,44,0,0,1.0,263,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,False,False,False,False,True,70.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
132,20,80.0,9920,0,3,3,4,3,3,5,5,1954,1954,110.0,0,0,2.5,2.5,0.0,2.0,354.0,2.0,290.0,644.0,2,1,4.0,1063,0,0,1063,1.0,1.0,1,0,3,1,0,6,7,0,0.0,1954.0,2.0,3.0,3.0,2,0,0,164,0,0,0,0,2,0,2,2010,128000,11.759785542901755,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,56,56,1,0,2.0,164,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,56.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
133,80,80.0,9600,0,3,3,4,3,3,6,6,1955,1972,164.0,0,0,2.5,2.5,2.0,3.0,674.0,2.0,132.0,806.0,4,1,4.0,1520,0,0,1520,1.0,1.0,1,0,3,1,0,7,7,2,3.0,1955.0,2.0,3.0,3.0,2,0,0,189,0,0,0,0,0,0,3,2010,153000,11.938193200374572,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,55,38,0,0,2.0,189,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,55.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
134,20,78.0,7800,0,3,3,4,3,3,5,6,1954,1954,200.0,0,0,2.5,2.5,0.0,2.0,540.0,1.0,0.0,540.0,3,1,4.0,1268,0,0,1268,0.0,0.0,1,0,2,1,0,7,7,1,3.0,1954.0,3.0,3.0,3.0,2,0,98,0,0,0,0,0,0,0,3,2010,132000,11.790557201568507,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,56,56,1,0,1.0,98,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,56.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
135,85,75.0,11380,0,2,3,4,3,3,6,8,1966,2008,216.0,0,0,2.5,2.5,3.0,4.0,944.0,1.0,0.0,944.0,3,1,4.0,1128,0,0,1128,1.0,1.0,1,0,2,1,1,5,7,1,3.0,1966.0,1.0,3.0,3.0,2,238,0,0,0,0,0,0,0,1500,1,2010,178000,12.089538829274222,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,44,2,0,0,2.0,238,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,44.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
136,90,80.0,11600,0,3,3,4,2,3,5,5,1960,1960,361.0,0,0,2.5,2.5,0.0,2.0,443.0,1.0,0.0,443.0,2,1,3.0,1105,1169,0,2274,0.0,0.0,2,0,5,2,0,12,7,0,0.0,1960.0,1.0,3.0,3.0,2,0,0,0,0,0,0,0,0,0,1,2010,154300,11.946654038351252,0.0,0.0,1.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,50,50,1,0,2.0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,50.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
137,20,75.2106704711914,19900,0,3,3,4,3,3,7,5,1970,1989,287.0,0,0,3.0,2.5,3.0,4.0,912.0,1.0,0.0,912.0,2,1,4.0,2207,0,0,2207,1.0,1.0,2,0,3,1,0,7,6,1,3.0,1970.0,2.0,3.0,3.0,2,301,0,0,0,0,0,0,0,0,7,2010,180000,12.100712129872347,0.0,0.0,0.0,0.0,1.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,40,21,0,0,3.0,301,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,40.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
